branch,stage,run_id,model,params_json,cv_cost,proxy_public_cost,proxy_private_cost,notes,timestamp
A,final,A_final,lgb,"{""n_estimators"": 719, ""learning_rate"": 0.023203536553136832, ""num_leaves"": 28, ""max_depth"": 7, ""min_child_samples"": 8, ""subsample"": 0.954660201039391, ""colsample_bytree"": 0.6293899908000085, ""reg_alpha"": 0.009176996354542699, ""reg_lambda"": 6.388511557344611e-06, ""scale_pos_weight"": 3.0802720847112433}",4400250.0,2189650.0,2206700.0,Tabular SOTA ensemble,2025-12-25T08:46:13.680479
B,final,B_final,lgb_graph,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": 8, ""scale_pos_weight"": 2.5}",4297750.0,2145500.0,2146150.0,Graph embeddings + tabular,2025-12-25T08:47:21.910225
C,final,C_final,lgb_label_prop,{},4411350.0,2194250.0,2210450.0,Semi-supervised label propagation,2025-12-25T08:47:42.613695
D,final,D_final,lgb_multihop,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": 8, ""scale_pos_weight"": 2.5}",4299350.0,2143150.0,2152400.0,Pseudo-GNN multi-hop,2025-12-25T09:03:45.767557
