trial_id,timestamp,cv_cost,proxy_public,proxy_private,t_low,t_high,param_scale_pos_weight,param_num_leaves,param_lr,param_n_est,param_min_child,param_reg_lambda,param_subsample,param_colsample,param_alpha,param_beta,param_blend_weight,param_use_hop2,param_max_depth,param_min_child_weight,param_min_split_gain,param_reg_alpha,param_bagging_freq,param_max_bin
1,2025-12-28T12:09:59.534518,5058750.0,2526850.0,2530300.0,0.07,0.61,3.621780831931537,244,0.0269751548333511,8000,124,1.5601864044243652,0.662397808134481,0.6232334448672797,9.170859016918063,3.045523149171298,0.7080725777960455,False,-1,0.001,0.0,0.0,1,255
2,2025-12-28T12:20:09.302085,5054000.0,2512850.0,2541150.0,0.15,0.43,1.1440914600706171,249,0.0339948121079556,8000,50,1.8182496720710064,0.6733618039413735,0.7216968971838151,2.2168921558720087,1.5069902801946873,0.2912291401980419,False,-1,0.001,0.0,0.0,1,255
3,2025-12-28T12:24:10.606436,5012800.0,2500550.0,2512250.0,0.21,0.4,5.282970263056656,62,0.009797486029339582,8000,79,4.56069984217036,0.9140703845572055,0.6798695128633439,2.121973486810424,2.9372934663073202,0.046450412719997725,False,-1,0.001,0.0,0.0,1,255
